"Poll	",Coalition,Seats
"Rupblic-Jan ki Baat	",NDA,305
"Rupblic-Jan ki Baat	",UPA,124
"Rupblic-Jan ki Baat	",Others,113
"Republic-C-Voter	",NDA,287
"Republic-C-Voter	",UPA,128
"Republic-C-Voter	",Others,127
"ABP News	",NDA,277
"ABP News	",UPA,130
"ABP News	","Others	",135
"India Today- Axis	",NDA,352
"India Today- Axis	",UPA,93
"India Today- Axis	",Others,97
"Times Now-VMR	",NDA,306
"Times Now-VMR	",UPA,132
"Times Now-VMR	",Others,104
"News18-IPSOS	",NDA,336
"News18-IPSOS	",UPA,82
"News18-IPSOS	",Others,125
"News24	",NDA,350
"News24	",UPA,97
"News24	",Others,95
"India TV	",NDA,300
"India TV	",UPA,120
"India TV	",Others,122
"Today's Chanakya	",NDA,350
"Today's Chanakya	",UPA,95
"Today's Chanakya	",Others,97
